date,location,temp_c,feels_like_c,temp_max_c,temp_min_c,humidity_pct,precip_mm,precip_prob_pct,wind_kmh,uv_index,pm10,pm2_5,collected_at
2026-07-01,서울,24.0,26.9,30.1,20.9,75,0.0,16,4.7,3.15,30.4,27.5,2026-07-01T00:18:01.164780+00:00
2026-07-01,부산,21.0,23.8,22.0,20.7,96,3.4,100,8.5,0.15,9.3,8.8,2026-07-01T00:18:01.164780+00:00
2026-07-02,서울,22.5,25.0,26.8,20.7,78,0.0,2,3.9,3.3,21.9,19.9,2026-07-02T00:18:10.409292+00:00
2026-07-02,부산,23.9,26.9,25.4,19.9,78,0.0,1,5.0,2.3,16.9,14.3,2026-07-02T00:18:10.409292+00:00
2026-07-03,서울,22.2,26.0,27.3,20.7,91,0.0,64,2.9,3.4,25.3,22.4,2026-07-03T00:16:35.393246+00:00
2026-07-03,부산,22.9,26.5,25.8,20.3,88,0.0,1,4.8,4.15,20.4,19.1,2026-07-03T00:16:35.393246+00:00
2026-07-05,서울,25.0,29.4,27.8,21.1,83,0.0,31,3.4,0.9,14.8,14.0,2026-07-05T00:10:27.240151+00:00
2026-07-05,부산,23.8,28.7,24.8,22.4,99,0.0,94,6.7,2.85,10.1,9.0,2026-07-05T00:10:27.240151+00:00
2026-07-06,서울,23.6,28.1,26.5,22.8,95,0.6,88,5.8,2.2,7.0,6.8,2026-07-06T00:14:44.902256+00:00
2026-07-06,부산,24.3,29.5,28.7,23.2,98,0.0,22,6.1,3.9,10.1,8.7,2026-07-06T00:14:44.902256+00:00
2026-07-07,서울,24.2,29.6,28.7,22.7,97,0.1,100,3.9,1.4,12.0,11.8,2026-07-07T00:17:50.906473+00:00
2026-07-07,부산,25.3,31.2,28.5,24.0,98,0.0,25,5.0,4.1,21.8,16.9,2026-07-07T00:17:50.906473+00:00
2026-07-08,서울,23.7,27.7,26.5,23.3,93,1.5,100,9.0,0.25,5.6,5.1,2026-07-08T00:08:56.409890+00:00
2026-07-08,부산,25.9,30.6,27.6,24.0,93,0.0,65,12.5,3.5,7.7,5.6,2026-07-08T00:08:56.409890+00:00
2026-07-09,서울,24.8,30.9,26.3,22.8,97,0.2,89,1.1,0.8,9.8,9.0,2026-07-09T00:18:21.825630+00:00
2026-07-09,부산,27.0,31.9,29.0,24.0,86,0.0,26,9.7,4.55,9.2,6.6,2026-07-09T00:18:21.825630+00:00
2026-07-10,서울,24.1,29.4,27.0,23.4,95,0.5,100,2.7,2.3,6.6,6.0,2026-07-10T00:15:55.667881+00:00
2026-07-10,부산,27.2,32.5,29.4,23.0,81,0.0,2,4.5,3.25,14.0,10.8,2026-07-10T00:15:55.667881+00:00
2026-07-11,서울,26.8,32.1,32.4,22.9,81,0.0,0,2.0,3.7,12.6,10.6,2026-07-11T00:07:06.679576+00:00
2026-07-11,부산,29.0,34.7,31.8,24.2,76,0.0,0,4.7,4.15,14.6,12.9,2026-07-11T00:07:06.679576+00:00
